"2018-09-03","KB금융","51300.00"
"2018-09-03","KT","28900.00"
"2018-09-03","KT&G","101500.00"
"2018-09-03","LG","71100.00"
"2018-09-03","LG생활건강","1254000.00"
"2018-09-03","LG전자","76700.00"
"2018-09-03","LG화학","368000.00"
"2018-09-03","NAVER","754000.00"
"2018-09-03","POSCO","319500.00"
"2018-09-03","S-Oil","121000.00"
"2018-09-03","SK","261000.00"
"2018-09-03","SK이노베이션","194500.00"
"2018-09-03","SK텔레콤","256500.00"
"2018-09-03","SK하이닉스","80600.00"
"2018-09-03","기아차","31800.00"
"2018-09-03","넷마블","116500.00"
"2018-09-03","삼성SDI","242500.00"
"2018-09-03","삼성물산","123500.00"
"2018-09-03","삼성생명","92400.00"
"2018-09-03","삼성에스디에스","240000.00"
"2018-09-03","삼성전자","47450.00"
"2018-09-03","삼성화재","264000.00"
"2018-09-03","신한지주","43900.00"
"2018-09-03","아모레퍼시픽","259500.00"
"2018-09-03","엔씨소프트","385500.00"
"2018-09-03","카카오","121500.00"
"2018-09-03","하나금융지주","42750.00"
"2018-09-03","한국전력","30300.00"
"2018-09-03","현대모비스","226500.00"
"2018-09-03","현대차","125000.00"
"2018-09-04","KB금융","51400.00"
"2018-09-04","KT","28700.00"
"2018-09-04","KT&G","100500.00"
"2018-09-04","LG","71600.00"
"2018-09-04","LG생활건강","1259000.00"
"2018-09-04","LG전자","78100.00"
"2018-09-04","LG화학","367500.00"
"2018-09-04","NAVER","755000.00"
"2018-09-04","POSCO","316500.00"
"2018-09-04","S-Oil","120500.00"
"2018-09-04","SK","262500.00"
"2018-09-04","SK이노베이션","193000.00"
"2018-09-04","SK텔레콤","262000.00"
"2018-09-04","SK하이닉스","81200.00"
"2018-09-04","기아차","31600.00"
"2018-09-04","넷마블","119000.00"
"2018-09-04","삼성SDI","245000.00"
"2018-09-04","삼성물산","125000.00"
"2018-09-04","삼성생명","92100.00"
"2018-09-04","삼성에스디에스","240500.00"
"2018-09-04","삼성전자","47650.00"
"2018-09-04","삼성화재","262500.00"
"2018-09-04","신한지주","43850.00"
"2018-09-04","아모레퍼시픽","260500.00"
"2018-09-04","엔씨소프트","406000.00"
"2018-09-04","카카오","122000.00"
"2018-09-04","하나금융지주","42950.00"
